AAPL,
MSFT,
AMZN,
GOOG,
GOOGL,
FB,
BABA,
NVDA,
DIS,
CRM,
ADBE,
NFLX,
INTC,
CSCO,
ORCL,
QCOM,
ACN,
TXN,
SAP,
ZM,
SHOP,
SNE,
IBM,
NOW,
AMD,
INTU,
INFY,
MU,
NTDOY
