,company,date,open,close,week_52_high,week_52_low,week_52_change,avg_10_volume,avg_30_volume,day_50_moving_avg,ttm_EPS,pe_ratio,beta,year_1_change_percent,month_6_change_percent,month_1_change_percent,day_30_change_percent,day_5_change_percent,negative_count,neutral_count,positive_count,sentiment
0,AAPL,2020-10-21,116.67,116.87,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
1,AAPL,2020-10-22,117.45,115.75,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
2,AAPL,2020-10-23,116.39,115.04,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
3,AAPL,2020-10-26,114.01,115.05,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
4,AAPL,2020-10-27,115.49,116.6,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
5,AAPL,2020-10-28,115.05,111.2,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
6,AAPL,2020-10-29,112.37,115.32,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
7,AAPL,2020-10-30,111.06,108.86,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
8,AAPL,2020-11-02,109.11,108.77,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
9,AAPL,2020-11-03,109.66,110.44,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
10,AAPL,2020-11-04,114.14,114.95,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
11,AAPL,2020-11-05,117.95,119.03,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
12,AAPL,2020-11-06,118.32,118.69,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
13,AAPL,2020-11-09,120.5,116.32,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
14,AAPL,2020-11-10,115.55,115.97,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
15,AAPL,2020-11-11,117.19,119.49,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
16,AAPL,2020-11-12,119.62,119.21,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
17,AAPL,2020-11-13,119.44,119.26,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
18,AAPL,2020-11-16,118.92,120.3,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
19,AAPL,2020-11-17,119.55,119.39,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
20,AAPL,2020-11-18,118.61,118.03,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
21,AAPL,2020-11-19,117.59,118.64,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
22,AAPL,2020-11-20,118.64,117.34,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
23,AAPL,2020-11-23,117.18,113.85,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,,,,
24,AAPL,2020-11-24,113.91,115.17,137.98,53.15,0.758321,92866111.1,113804150.7,115.39,3.2994,34.91,1.1532796879511669,0.7097,0.4379,-0.0104,-0.0606,-0.0354,1.0,1.0,6.0,0.38843671874999997
25,MSFT,2020-10-21,213.12,214.8,232.86,132.52,0.43069300000000005,25446655.8,29496091.93,211.6,6.257000000000001,34.18,1.1477815564544054,0.407479,0.146977,-0.020531,-0.049729,-0.031487,,,,
